ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
GOOG
META
AVGO
TSLA
BRK-B
WMT
LLY
JPM
XOM
V
JNJ
MU
ORCL
COST
MA
NFLX
ABBV
CVX
PLTR
PG
HD
BAC
KO
CAT
GE
AMD
CSCO
MRK
RTX
PM
AMAT
LRCX
UNH
MS
TMUS
IBM
GS
MCD
WFC
LIN
INTC
GEV
PEP
VZ
AXP
AMGN
T
NEE
ABT
KLAC
C
GILD
CRM
DIS
TMO
TXN
TJX
ISRG
ANET
BA
APH
SCHW
DE
APP
PFE
UBER
HON
LMT
ADI
COP
WELL
BLK
UNP
QCOM
ETN
PANW
BKNG
LOW
DHR
SYK
CB
SPGI
PLD
PGR
ACN
INTU
BMY
VRTX
HCA
NEM
NOW
MCK
MO
SBUX
PH
MDT
CRWD
CME
GLW
SO
COF
CEG
CMCSA
NOC
ADBE
DUK
BSX
DELL
CVS
WM
SNDK
GD
HWM
EQIX
TT
WDC
ICE
WMB
STX
AMT
PWR
MAR
ADP
MRSH
BX
FDX
UPS
PNC
FCX
USB
MMM
NKE
BK
SHW
JCI
SNPS
REGN
MSI
CDNS
ECL
KKR
CTAS
ITW
ORLY
MCO
ABNB
MNST
EMR
KMI
CMI
RCL
CSX
AEP
EOG
CL
CI
MDLZ
PSX
DASH
VLO
RSG
TDG
AON
COR
MPC
HLT
ROST
SLB
WBD
LHX
CRH
HOOD
GM
TRV
APD
NSC
ELV
SRE
DLR
FTNT
SPG
O
PCAR
APO
AZO
