stock1,stock2,adf_p,beta,fdr_reject
NVDA,AAPL,0.09948785629084239,1.8614228447199237,False
NVDA,AVGO,0.059186220456239884,1.353229916143255,False
NVDA,BRK-B,0.0245522823117738,3.569228758842302,False
NVDA,JPM,0.0259359553093658,2.8405339334974693,False
NVDA,ORCL,0.045076083570879916,3.15259484349715,False
NVDA,COST,0.07301688467024556,2.2003027595574953,False
NVDA,ABBV,0.006247403199776937,3.019950159099456,True
NVDA,KO,0.022379724893157895,5.111987063225215,False
NVDA,AMAT,0.08781441017095237,1.9318960425299216,False
NVDA,LRCX,0.0827291493651055,1.6990859045039712,False
NVDA,MS,0.05314874806331242,2.7806615270204746,False
NVDA,TMUS,0.07308368881697735,2.25846153273938,False
NVDA,MCD,0.03037623477580442,3.3463711615911804,False
NVDA,LIN,0.0920207206354583,3.1894166835047795,False
NVDA,AXP,0.09104593333004002,3.149429052901059,False
NVDA,TJX,0.06059528532732555,2.6164695806225113,False
NVDA,ISRG,0.03691589774469308,2.3271587028942733,False
NVDA,ANET,0.042621951728140414,1.654637166200134,False
NVDA,DE,0.06228707669117593,2.5840292335000803,False
NVDA,ADI,0.03425430421031502,2.6913972328292113,False
NVDA,ETN,0.052879470564197874,2.6510568400689567,False
NVDA,CB,0.02874597695061643,3.504649305862247,False
NVDA,PGR,0.03200245564265222,2.106333383846703,False
NVDA,PH,0.008814739572159168,2.6265440902716244,True
NVDA,SO,0.007597357634722421,4.3512312719362685,True
NVDA,COF,0.04275643773949015,3.7938914045197185,False
NVDA,CEG,0.07370379166552166,1.3348574586754114,False
NVDA,DUK,0.026582167394748557,4.653200564291535,False
NVDA,DELL,0.005104635882118655,1.8901792033722624,True
NVDA,WM,0.06352255294454166,2.6995578498611694,False
NVDA,TT,0.04961129533925678,2.1276355900887767,False
NVDA,MAR,0.043289196788159894,2.699646099056802,False
NVDA,PNC,0.07004647152854986,3.6587887239074295,False
NVDA,MSI,0.07016840709859973,2.3361593743877966,False
NVDA,EMR,0.002853839851249689,4.736401179062496,True
NVDA,CMI,0.002356751567975318,3.5022797090169107,True
NVDA,PSX,0.08530863303775854,4.134708759572865,False
NVDA,RSG,0.00929513308630134,2.648919273955962,True
NVDA,HLT,0.033233532628351464,3.042995544882579,False
NVDA,ROST,0.07529318236953433,2.525386940193633,False
NVDA,CRH,0.007681667643309098,3.268884423329476,True
NVDA,GM,0.044507587326907315,4.98022168958057,False
NVDA,TRV,0.079266278387779,3.4853762806757076,False
NVDA,DLR,0.027486268337255548,3.56072336205831,False
NVDA,PCAR,0.016050344203470287,3.530375271452786,True
NVDA,AZO,0.09298156805651897,2.3518935964708545,False
AAPL,MSFT,0.0032694809180531556,0.981681792862986,True
AAPL,GOOGL,0.057192740298847314,1.2097887906551088,False
AAPL,GOOG,0.04543387676459513,1.2025164497124625,False
AAPL,LLY,0.0911871453623514,0.9326893034439631,False
AAPL,JPM,0.07201636501425196,1.4393062249985478,False
AAPL,ORCL,0.06594503958296065,1.602206726362541,False
AAPL,COST,0.02328986230829468,1.1554949068127973,False
AAPL,ABBV,0.0036856750951014127,1.448521829270476,True
AAPL,PG,0.007741441664006725,2.2823156784061487,True
AAPL,BAC,0.03563111036812083,1.6250972051341452,False
AAPL,KO,0.004659673875968762,2.727856767420059,True
AAPL,AMD,0.020599496544298178,0.6576262204079598,False
AAPL,CSCO,0.047080916795510214,1.8383790107303393,False
AAPL,MRK,0.050642704677136496,1.9715560543884543,False
AAPL,AMAT,0.0333457127107972,0.9892367001752844,False
AAPL,LRCX,0.05820312936145189,0.8723261421183497,False
AAPL,MS,0.011543164132175866,1.4070774699509656,True
AAPL,TMUS,0.0597955093718524,1.1698124316512986,False
AAPL,MCD,0.04081586921403461,1.7532563995631123,False
AAPL,LIN,0.017050039818108445,1.6721159761990727,True
AAPL,PEP,0.08503906092232733,2.2563629946103108,False
AAPL,AXP,0.08071069013747506,1.6465235311643893,False
AAPL,NEE,0.0985939075843224,1.382813706445098,False
AAPL,ABT,0.09267120970515413,1.6008521423070956,False
AAPL,KLAC,0.043749372326698246,0.8835576709943399,False
AAPL,ISRG,0.027906537939942522,1.1969267701361288,False
AAPL,SCHW,0.05300550263216246,1.5404502552959136,False
AAPL,DE,0.016507198206463406,1.3519530777181197,True
AAPL,APP,0.08730222196369614,0.14585831333480478,False
AAPL,UBER,0.06931574905957036,0.7072267342427895,False
AAPL,ADI,0.008615179807200756,1.408337676058067,True
AAPL,BLK,0.015051797342461686,1.5526806489026759,True
AAPL,UNP,0.09939151592252166,1.5555889597532966,False
AAPL,QCOM,0.026887295667257487,1.8473752088909867,False
AAPL,PANW,0.038895830776695624,0.9706748578185255,False
AAPL,LOW,0.08094894317349727,1.2117361044402248,False
AAPL,SYK,0.08665402283475354,1.4612228833335588,False
AAPL,CB,0.09741256558540834,1.8388343058228458,False
AAPL,PLD,0.010852165619230775,1.5594383043809696,True
AAPL,PGR,0.048234414080065346,1.081634942982818,False
AAPL,VRTX,0.011153184434093844,1.3065802311482893,True
AAPL,NOW,0.04600147557490346,0.8614109117406967,False
AAPL,CRWD,0.03541952837853358,0.6167371600619536,False
AAPL,SO,0.004955258611124235,2.2933306563462996,True
AAPL,COF,0.03056645296914498,1.9814345474889914,False
AAPL,CEG,0.03241589028543216,0.27750795778375015,False
AAPL,DUK,0.010281826744816706,2.485168600490229,True
AAPL,WM,0.03874388445406727,1.395286940423006,False
AAPL,TT,0.051396786868381304,1.0987597931950297,False
AAPL,ICE,0.05895507345429493,1.5387286859072253,False
AAPL,BX,0.021161959139067085,1.0295086877958153,False
AAPL,PNC,0.06851741926845918,1.9030541087303317,False
AAPL,SNPS,0.005664098950584072,0.9972852124961376,True
AAPL,MSI,0.019130933803204696,1.2212503697890762,False
AAPL,CDNS,0.002712103675548157,0.8696895587377802,True
AAPL,CTAS,0.0666981309785197,0.9270817380506686,False
AAPL,EMR,0.0173895547748519,2.4256289264348068,True
AAPL,CMI,0.07105916531623571,1.8307257395759395,False
AAPL,CSX,0.08812471084647305,1.4810451862685754,False
AAPL,RSG,0.03591133385538557,1.354252818840295,False
AAPL,AON,0.0955291192913611,1.3973979812354056,False
AAPL,HLT,0.06741059478108657,1.4384910631574708,False
AAPL,CRH,0.026644171090693527,1.622757904714656,False
AAPL,HOOD,0.09536275711231218,0.1667165739128918,False
AAPL,GM,0.049988589365360124,2.383280712502357,False
AAPL,APD,0.027816177269710828,1.733610891500057,False
AAPL,NSC,0.02681920918112279,1.6543443915251481,False
AAPL,DLR,0.06791562598401142,1.8308706753077515,False
AAPL,FTNT,0.0012084802959069817,0.8955293088570633,True
AAPL,PCAR,0.09266719927164341,1.8055500590951434,False
AAPL,APO,0.08960510757366752,1.0029519919972287,False
AAPL,AZO,0.0744858524292442,1.2591718961280383,False
MSFT,BRK-B,0.05397065417935783,1.8633833497027559,False
MSFT,COST,0.08978990870257547,1.1593317262555387,False
MSFT,MA,0.09555189024102101,1.0507657393450631,False
MSFT,ABBV,0.06625201709247489,1.4631991754257454,False
MSFT,PG,0.0014346896664256278,2.3007364512390525,True
MSFT,HD,0.09091726329010791,1.1699828693672456,False
MSFT,BAC,0.05465616116592198,1.6945964596634226,False
MSFT,KO,0.017503067617708246,2.7146214797272057,True
MSFT,CSCO,0.08203665811023197,1.9042460382960364,False
MSFT,MRK,0.07109698939155559,1.984836713721545,False
MSFT,TMUS,0.018071532583673625,1.1865491230009662,False
MSFT,MCD,0.0007232080349180263,1.773225633127954,True
MSFT,PEP,0.026035637782349966,2.2743020606151,False
MSFT,NEE,0.050167389284685976,1.3943032478887474,False
MSFT,ABT,0.029376508443236044,1.6153456946618956,False
MSFT,CRM,0.0197111728130591,1.334611563088656,False
MSFT,TXN,0.025205757274612314,1.306774483371774,False
MSFT,TJX,0.09197208805927848,1.3894218614711658,False
MSFT,ISRG,0.01423071285851108,1.2142017566869074,True
MSFT,SCHW,0.09699160902319914,1.570983242203637,False
MSFT,DE,0.07003671617258339,1.3530787999245795,False
MSFT,UBER,0.056192797894962135,0.7305016413801688,False
MSFT,HON,0.04363282504462948,1.6707258766048718,False
MSFT,ADI,0.021106372828294487,1.4181149812769147,False
MSFT,BLK,0.05682824781419124,1.5699493000001528,False
MSFT,UNP,0.012508192029067241,1.5554376372449128,True
MSFT,LOW,0.036783397347236436,1.2171568577093543,False
MSFT,DHR,0.09886227576724671,1.1028814072011794,False
MSFT,SYK,0.006483974642087111,1.4937226457932307,True
MSFT,CB,0.08063749776165546,1.8352029895079438,False
MSFT,SPGI,0.041491576030031084,1.1061448505158702,False
MSFT,PLD,0.0019865809302893754,1.571983249126986,True
MSFT,PGR,0.01513077775395488,1.0994936065298506,True
MSFT,INTU,8.121163969178573e-05,1.1150360649095223,True
MSFT,VRTX,0.017511299314225716,1.3161015417197295,True
MSFT,NOW,0.00041640105201567047,0.9084564965086465,True
MSFT,CRWD,0.07711645974038245,0.5631625360857341,False
MSFT,SO,0.020812981408563032,2.285798132828027,False
MSFT,COF,0.05704101442428826,1.9719749644728395,False
MSFT,CEG,0.08887417848314316,0.3466139232277463,False
MSFT,DUK,0.016067578598175238,2.477670069925039,True
MSFT,WM,0.0038180062286626757,1.4228794576187147,True
MSFT,ICE,0.010258804957873168,1.563732940072836,True
MSFT,MAR,0.08720034338058591,1.4115946356424227,False
MSFT,ADP,0.046815002255754815,1.4319488642136982,False
MSFT,MRSH,0.004760237825331106,1.3808293445240267,True
MSFT,BX,0.04508465471336868,1.0334743542136737,False
MSFT,PNC,0.044517460579532195,1.9296332031448793,False
MSFT,SHW,0.02651145839821909,1.1933540570291836,False
MSFT,SNPS,0.003432488994454121,1.0065157773381384,True
MSFT,MSI,0.04066653878166563,1.229499863008043,False
MSFT,CDNS,0.00022524423544500487,0.8759463231253581,True
MSFT,CTAS,0.005636122535831885,0.93745642983176,True
MSFT,ITW,0.03469995032480452,1.567296472685015,False
MSFT,ORLY,0.038397524135371806,1.0701395753212382,False
MSFT,MCO,0.07458596157429939,1.107802228017105,False
MSFT,EMR,0.024570914944692577,2.4395863248299285,False
MSFT,CMI,0.07921827536953308,1.809187249360543,False
