stock1,stock2,stability
SHW,SRE,0.11979166666666667
TXN,APD,0.11979166666666667
V,SRE,0.11979166666666667
CRM,APD,0.11979166666666667
PH,CMI,0.11979166666666667
ACN,ADBE,0.11979166666666667
JPM,AMAT,0.11979166666666667
ORCL,CMI,0.11979166666666667
GOOG,AMAT,0.11979166666666667
AEP,O,0.11979166666666667
MNST,ROST,0.11979166666666667
KLAC,ETN,0.11979166666666667
TJX,TT,0.11979166666666667
ECL,SRE,0.11979166666666667
HON,LMT,0.11979166666666667
CRM,EQIX,0.11979166666666667
BAC,PNC,0.11979166666666667
SYK,PGR,0.11979166666666667
AVGO,TJX,0.11979166666666667
MA,SRE,0.11979166666666667
EQIX,AEP,0.11979166666666667
VRTX,BX,0.11979166666666667
AVGO,HLT,0.11888111888111888
EMR,HLT,0.11888111888111888
HCA,HLT,0.11888111888111888
TDG,HLT,0.11888111888111888
NOW,CTAS,0.11801242236024845
ANET,MAR,0.11678832116788321
ABBV,MS,0.11612903225806452
ABBV,NEM,0.11612903225806452
ABBV,CB,0.11612903225806452
GS,GM,0.11602209944751381
MS,GM,0.11602209944751381
CME,WM,0.11458333333333333
V,MA,0.11458333333333333
NEE,ITW,0.11458333333333333
MS,KLAC,0.11458333333333333
MDLZ,APD,0.11458333333333333
V,BSX,0.11458333333333333
MA,ECL,0.11458333333333333
MA,CME,0.11458333333333333
TJX,SRE,0.11458333333333333
CRM,BLK,0.11458333333333333
CRM,UNP,0.11458333333333333
CRM,CME,0.11458333333333333
CRM,SHW,0.11458333333333333
CRM,ELV,0.11458333333333333
ECL,AEP,0.11458333333333333
TMO,ACN,0.11458333333333333
DUK,SRE,0.11458333333333333
TJX,APH,0.11458333333333333
TXN,UNP,0.11458333333333333
UNH,ACN,0.11458333333333333
ADI,CMI,0.11458333333333333
PEP,NEE,0.11458333333333333
LHX,DLR,0.11458333333333333
PEP,ITW,0.11458333333333333
CL,TRV,0.11458333333333333
KO,AZO,0.11458333333333333
VRTX,O,0.11458333333333333
LOW,APD,0.11458333333333333
GOOGL,AMAT,0.11458333333333333
UNH,PEP,0.11458333333333333
VRTX,CI,0.11458333333333333
TMUS,RSG,0.11458333333333333
T,MO,0.11458333333333333
UNP,CTAS,0.11458333333333333
ADI,EMR,0.11458333333333333
TXN,DHR,0.11458333333333333
SBUX,MDT,0.11458333333333333
SYK,MRSH,0.11458333333333333
BRK-B,APO,0.11299435028248588
ADI,HLT,0.11188811188811189
CAT,HLT,0.11188811188811189
UNP,NOW,0.11180124223602485
