stock1,stock2,adf_p,beta,fdr_reject
NVDA,AAPL,0.10774694893860198,1.8656958043153948,False
NVDA,MSFT,0.6113682241879949,1.890042876402978,False
NVDA,AMZN,0.41269298727538073,1.7522846280182638,False
NVDA,GOOGL,0.14227928091750658,2.3234527623631958,False
NVDA,GOOG,0.12849401895637658,2.310433277040706,False
NVDA,META,0.2874368878467537,2.1558786160862495,False
NVDA,AVGO,0.0635440669240241,1.3517246397470524,False
NVDA,TSLA,0.7109330942815618,1.0842751571271574,False
NVDA,BRK-B,0.028626138954401855,3.5759335969477246,False
NVDA,WMT,0.20615774787860047,3.3881426142590283,False
NVDA,LLY,0.20142426154685483,1.8010967823540147,False
NVDA,JPM,0.02514163009475561,2.838931755696148,False
NVDA,XOM,0.6036099375639837,4.088545896291443,False
NVDA,V,0.6811013954870638,2.1169223757674263,False
NVDA,JNJ,0.2591740690439916,4.020070915385829,False
NVDA,MU,0.4995713141813498,1.9528319650059078,False
NVDA,ORCL,0.035115405426438734,3.1543400464663987,False
NVDA,COST,0.0826757300748448,2.203261142127753,False
NVDA,MA,0.6469606090423043,1.95229168888279,False
NVDA,NFLX,0.254290933468992,1.4036344441171875,False
NVDA,ABBV,0.006493796281949512,3.0235015846868207,True
NVDA,CVX,0.12329955850421165,4.838147490613417,False
NVDA,PLTR,0.6757752784640209,0.7817949274299633,False
NVDA,PG,0.2271273927679317,4.295123668840566,False
NVDA,HD,0.6793185670064551,2.1730284235510586,False
NVDA,BAC,0.10792315326429158,3.245961039428101,False
NVDA,KO,0.02143737125423688,5.115238755392908,False
NVDA,CAT,0.1822976686144912,2.9373213418112134,False
NVDA,GE,0.9612416371175955,1.2159641318529173,False
NVDA,AMD,0.27782317072250673,1.3224697445899922,False
NVDA,CSCO,0.11188401151320315,3.5994775570932034,False
NVDA,MRK,0.23764672212671034,3.690029428070185,False
NVDA,RTX,0.09450066829341885,4.502192030992806,False
NVDA,PM,0.1167057721059252,4.266763764344726,False
NVDA,AMAT,0.08379222555346422,1.9280907828231315,False
NVDA,LRCX,0.08689133793069348,1.6931459489990046,False
NVDA,UNH,0.7790242438896497,2.0221022425101363,False
NVDA,MS,0.0565240669882258,2.7751867793738434,False
NVDA,TMUS,0.09038832799078034,2.2658508861157403,False
NVDA,IBM,0.5726084250814872,4.825730206007694,False
NVDA,GS,0.1719387050736108,3.381767362598533,False
NVDA,MCD,0.05910098157301866,3.3562378286585752,False
NVDA,WFC,0.5157120066647074,4.01260833618746,False
NVDA,LIN,0.09471591016172382,3.192503688608812,False
NVDA,INTC,0.6692607840082675,3.100888757141693,False
NVDA,PEP,0.3907150636384573,4.211860990226369,False
NVDA,VZ,0.5825391848625142,4.927140391283407,False
NVDA,AXP,0.08959426540015858,3.149653228482845,False
NVDA,AMGN,0.3966780368252286,2.9607903991091944,False
NVDA,T,0.2860356733290754,5.209510864379365,False
NVDA,NEE,0.4383565318579379,2.5706243523911336,False
NVDA,ABT,0.853285283088397,2.9736952217922785,False
NVDA,KLAC,0.14749679180212705,1.696734156871056,False
NVDA,C,0.18387244809628633,4.772696170473203,False
NVDA,GILD,0.8354161118382789,2.454221004791932,False
NVDA,CRM,0.5384496344395985,2.4821300489250593,False
NVDA,DIS,0.977299182060142,2.9035997716392505,False
NVDA,TMO,0.876142556616914,2.245465367514981,False
NVDA,TXN,0.24525332460104765,2.4541719491380163,False
NVDA,TJX,0.06309944441432197,2.61876594716252,False
NVDA,ISRG,0.048717882705294646,2.333259529457468,False
NVDA,ANET,0.05472858950543258,1.6498838921578458,False
NVDA,BA,0.8913749516975966,2.52635112874582,False
NVDA,APH,0.19857005662317756,2.35124695996675,False
NVDA,SCHW,0.24133236800183705,2.988340149082091,False
NVDA,DE,0.06616574058811697,2.5862393622818933,False
NVDA,APP,0.35969372947232275,0.6492546185688584,False
NVDA,PFE,0.9338230898592385,3.730128863658379,False
NVDA,UBER,0.1431877797663591,2.3759125309303304,False
NVDA,HON,0.3423757083926298,3.1024274608753477,False
NVDA,LMT,0.6787778356442038,2.4501101985652647,False
NVDA,ADI,0.03948938760554687,2.6875964412383406,False
NVDA,COP,0.3915536942787561,3.5905646045962443,False
NVDA,WELL,0.1433425648152284,3.765107737078454,False
NVDA,BLK,0.23851618034156108,2.974910811045396,False
NVDA,UNP,0.235661164766797,2.8650163690985115,False
NVDA,QCOM,0.2948993337720859,3.415864172934965,False
NVDA,ETN,0.05510026932126416,2.646724050241681,False
NVDA,PANW,0.17058153750007582,2.0297370325044826,False
NVDA,BKNG,0.11606489883948573,2.5259040398222226,False
NVDA,LOW,0.511482740604764,2.269234483863347,False
NVDA,DHR,0.9011975683352547,2.055606164455371,False
NVDA,SYK,0.2688164633133372,2.84009126090853,False
NVDA,CB,0.02949936683354977,3.507984511153829,False
NVDA,SPGI,0.7053035577578465,2.062994478922425,False
NVDA,PLD,0.15950615772120508,2.930584967263333,False
NVDA,PGR,0.04200281256176179,2.1111392103759212,False
NVDA,ACN,0.9773284794955578,2.6300920375604853,False
NVDA,INTU,0.7018295493985783,2.0931675577592994,False
NVDA,BMY,0.7882152121205789,3.688185166878385,False
NVDA,VRTX,0.14415856025916463,2.4779470199079094,False
NVDA,HCA,0.20128665584109728,2.197808106692771,False
NVDA,NEM,0.4824076826547861,3.037217250579228,False
NVDA,NOW,0.8607336048597973,1.7921537358317947,False
NVDA,MCK,0.5771491670739466,2.551602716046756,False
NVDA,MO,0.3527051569794813,3.3991526277527937,False
NVDA,SBUX,0.569774544297329,2.613164391330398,False
NVDA,PH,0.008229300149268709,2.617432647275842,True
NVDA,MDT,0.9159118850102735,3.8643624503266283,False
NVDA,CRWD,0.2361877207776411,1.6628168057929975,False
NVDA,CME,0.3562306955347935,2.7437577111636116,False
NVDA,GLW,0.5788136063131027,3.4359245982068414,False
NVDA,SO,0.007363961575072908,4.352239528748373,True
NVDA,COF,0.04154623227886176,3.7989330933241963,False
NVDA,CEG,0.0739742430814096,1.3412992803599213,False
NVDA,CMCSA,0.9628347028963157,2.916711636792968,False
NVDA,NOC,0.5609554063490153,2.2436936530069835,False
NVDA,ADBE,0.996905092181008,1.840096399137858,False
NVDA,DUK,0.02820364745361492,4.658595507858194,False
NVDA,BSX,0.8172344636860777,2.3157805760074757,False
NVDA,DELL,0.007687386911026937,1.878321907229858,True
NVDA,CVS,0.8773708169313028,3.268560232074416,False
NVDA,WM,0.08322988847855911,2.705811366265408,False
NVDA,GD,0.34668978014052576,3.255209006032241,False
NVDA,HWM,0.13983804355462875,1.5260559803059588,False
NVDA,EQIX,0.5115103515402455,2.3407607343043533,False
NVDA,TT,0.04835466645837522,2.1272163582600183,False
NVDA,WDC,0.7464835223514528,2.099227629700829,False
NVDA,ICE,0.16672388295906,2.953210012228417,False
NVDA,WMB,0.49750741219562783,3.0867204605597394,False
NVDA,STX,0.7191095735957642,2.129519277922335,False
NVDA,AMT,0.8089271246221277,2.9846284205039617,False
NVDA,PWR,0.5920531313463646,2.0191962894873847,False
NVDA,MAR,0.04251198108700255,2.700819555267045,False
NVDA,ADP,0.6635385115860251,2.686100621143406,False
NVDA,MRSH,0.34917279657591677,2.6004960549943923,False
NVDA,BX,0.4621706926991982,1.9409663975874007,False
NVDA,FDX,0.15702748183492105,4.087815592095921,False
NVDA,UPS,0.8153892568876252,4.015878202261273,False
NVDA,PNC,0.06907845565459489,3.664418123258955,False
NVDA,FCX,0.9156686220960045,1.1870088297966477,False
NVDA,USB,0.3362883315895853,4.735844250049355,False
